TradingDate,CallPut,420,1150,730,1245,585,970,370,1335,630,677.5,870,320,1135,530,1230,770,1320,815,622.5,670,1120,715,955,1305,615,855,1105,707.5,900,755,1290,800,607.5,1090,700,940,1180,1275,600,985,1075,692.5,885,1165,545,1260,785,592.5,470,1350,637.5,1060,685,300,1055,682.5,875,200,1240,775,582.5,1015,1040,675,915,150,1130,1225,575,960,620,1025,667.5,860,1115,520,1210,760,1000,1300,612.5,660,1100,705,1195,560,945,1285,605,652.5,380,845,500,1085,697.5,745,330,450,1270,597.5,790,1365,645,400,1070,690,930,350,1255,590,830,587.5,1345,635,1020,1050,680,1145,535,920,1235,580,1330,627.5,820,1035,672.5,720,100,1220,765,1005,665,410,905,1205,565,950,805,360,480,50,657.5,850,310,430,1190,750,990,1375,650,890,1080,1175,550,935,1265,595,1360,642.5,835,250,1065,687.5,1160,735,975,1250,780,1340,632.5,825,490,1045,1140,725,440,965,577.5,1325,625,1010,390,865,510,1030,1125,910,340,460,1215,570,1310,617.5,810,662.5,1110,710,1200,1295,610,995,655,1095,702.5,895,1185,555,1280,602.5,795,647.5,840,695,1170,740,980,1355,640,880,1155,540,925
2021-06-10,P,6,NULL,NULL,NULL,NULL,NULL,12,NULL,32,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,3,1,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,2,11,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,1,NULL,NULL,NULL,1,NULL,NULL,13,NULL,NULL,NULL,13,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,26,NULL,4,NULL,2,NULL,4,NULL,NULL,11,NULL,1,NULL,NULL,28,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL,12,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,24,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,12,NULL
2021-06-10,C,NULL,NULL,101,NULL,NULL,543,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,152,NULL,NULL,2,1,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,55,NULL,NULL,79,1,NULL,56,588,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,396,3,NULL,NULL,NULL,NULL,NULL,NULL,169,122,NULL,1,2,NULL,NULL,NULL,2,NULL,NULL,11,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,200,NULL,5,NULL,NULL,80,492,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,81,NULL,NULL,384,NULL,NULL,NULL,NULL,10,NULL,NULL,25,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL,150,NULL,NULL,4,NULL,NULL,3,NULL,NULL,NULL,209,306,NULL,34,12,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,1,NULL,173,NULL,NULL,NULL,NULL,NULL,NULL,274,NULL,NULL,NULL,NULL,NULL,6,2,NULL,NULL,6,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,4,NULL,NULL,144,102,NULL,7,NULL,NULL,NULL,NULL
2021-06-11,P,3,NULL,40,NULL,4,NULL,NULL,NULL,136,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL,NULL,4,11,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44,NULL,NULL,NULL,NULL,NULL,128,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,1,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,6,1,NULL,NULL,NULL,3,NULL,NULL,3,NULL,NULL,NULL,26,NULL,NULL,NULL,1,21,NULL,29,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,110,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,14,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL,11,12,NULL,NULL,1,NULL,NULL,2,9,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,98,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,NULL,NULL,5,NULL,4,NULL,10,NULL,19,NULL,NULL,NULL,10,16,NULL,5,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,2,NULL,NULL,NULL,NULL,9,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL
2021-06-11,C,NULL,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,4,NULL,NULL,6,9,NULL,216,NULL,NULL,NULL,88,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,8,NULL,NULL,NULL,NULL,20,NULL,7,23,NULL,NULL,8,NULL,NULL,NULL,3,NULL,NULL,24,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,15,NULL,1,NULL,NULL,6,NULL,NULL,NULL,NULL,4,NULL,NULL,1,NULL,1,5,NULL,4,NULL,NULL,1,NULL,NULL,11,NULL,NULL,21,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,25,NULL,NULL,30,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,2,2,NULL,NULL,19,NULL,NULL,5,NULL,5,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,5,10,NULL,NULL,NULL
2021-06-14,C,NULL,NULL,10,NULL,NULL,1,NULL,NULL,32,NULL,10,NULL,NULL,NULL,NULL,7,NULL,NULL,7,16,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,8,NULL,NULL,101,101,NULL,119,NULL,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120,2,1,77,NULL,NULL,NULL,NULL,NULL,NULL,20,6,NULL,7,9,3,NULL,NULL,2,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,1,2,NULL,12,NULL,NULL,NULL,NULL,3,NULL,NULL,26,NULL,NULL,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,13,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,460,NULL,NULL,298,NULL,NULL,NULL,2,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL,NULL,1,3,NULL,NULL,NULL,7,NULL,17,13,NULL,NULL,9,10,NULL,76,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,5,NULL,NULL,13,NULL,NULL,25,1,NULL,NULL,NULL
2021-06-14,P,NULL,NULL,NULL,NULL,10,NULL,1,NULL,2,NULL,NULL,NULL,NULL,35,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,1,24,NULL,4,NULL,NULL,NULL,68,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,7,NULL,11,NULL,NULL,NULL,NULL,28,NULL,NULL,NULL,NULL,1,4,NULL,NULL,NULL,12,NULL,NULL,6,NULL,1,NULL,115,NULL,NULL,NULL,NULL,52,NULL,29,NULL,NULL,NULL,2,NULL,NULL,NULL,10,NULL,7,NULL,6,NULL,5,NULL,NULL,2,NULL,19,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,7,NULL,NULL,12,NULL,NULL,NULL,7,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,37,NULL,NULL,65,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,11,NULL,NULL,NULL,4,NULL,11,NULL,3,NULL,2,NULL,38,NULL,NULL,NULL,6,36,NULL,8,NULL,7,NULL,NULL,NULL,1,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,3,NULL,NULL,52,NULL
2021-06-15,C,NULL,8,13,NULL,4,2,NULL,NULL,21,NULL,2,NULL,NULL,NULL,NULL,8,NULL,NULL,12,26,NULL,NULL,NULL,NULL,37,NULL,NULL,NULL,4,NULL,NULL,37,1228,NULL,77,NULL,NULL,NULL,90,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,71,NULL,NULL,24,1,NULL,2,NULL,1,NULL,28,1,NULL,18,8,2,NULL,NULL,NULL,NULL,NULL,33,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,1,NULL,3,7,NULL,14,1,NULL,123,10,NULL,NULL,9,3,NULL,NULL,6,NULL,2,24,NULL,1,NULL,NULL,1,NULL,NULL,3,NULL,NULL,2864,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,3,NULL,NULL,1,NULL,NULL,53,NULL,NULL,NULL,835,NULL,NULL,55,1,NULL,NULL,2,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,3,NULL,10,9,NULL,NULL,36,1,NULL,42,NULL,8,NULL,NULL,NULL,NULL,2,NULL,16,NULL,NULL,NULL,NULL,NULL,7834,15,NULL,24,13,NULL,4,NULL
2021-06-15,P,7,NULL,NULL,NULL,35,NULL,3,NULL,4,NULL,NULL,1,NULL,11,NULL,1,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,14,NULL,2,NULL,NULL,NULL,46,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,3,16,NULL,NULL,NULL,NULL,29,NULL,NULL,NULL,24,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,3,NULL,NULL,NULL,NULL,37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45,NULL,NULL,2,NULL,50,NULL,362,NULL,NULL,NULL,5,40,NULL,22,NULL,NULL,NULL,17,NULL,10,NULL,56,NULL,15,NULL,2,NULL,1,NULL,NULL,NULL,NULL,27,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,20,NULL,NULL,9,NULL,NULL,NULL,90,NULL,NULL,NULL,187,1,NULL,NULL,NULL,NULL,40,NULL,NULL,NULL,16,NULL,NULL,11,NULL,NULL,NULL,413,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,240,NULL,NULL,NULL,22,NULL,2,NULL,NULL,NULL,2,NULL,182,NULL,NULL,NULL,19,24,NULL,13,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,16,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,1,NULL,NULL,36,NULL
2021-06-16,P,4,NULL,NULL,NULL,12,NULL,NULL,NULL,13,NULL,4,NULL,NULL,49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,19,NULL,NULL,NULL,46,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,71,34,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,1,NULL,NULL,4,NULL,NULL,NULL,NULL,2,NULL,NULL,15,NULL,17,NULL,NULL,NULL,NULL,47,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,22,NULL,NULL,117,NULL,1,NULL,51,NULL,NULL,NULL,3,11,NULL,1,NULL,NULL,NULL,9,NULL,23,NULL,5,NULL,29,NULL,2,NULL,1,NULL,NULL,25,NULL,5,NULL,NULL,6,NULL,NULL,1,NULL,NULL,NULL,5,NULL,NULL,NULL,5,4,NULL,NULL,2,NULL,NULL,5,18,NULL,NULL,NULL,130,3,NULL,1,NULL,NULL,16,NULL,NULL,NULL,64,NULL,NULL,9,NULL,NULL,NULL,273,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45,NULL,NULL,NULL,8,NULL,6,NULL,1,NULL,2,NULL,56,NULL,NULL,NULL,2,12,NULL,12,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,42,NULL,NULL,NULL,NULL,NULL,NULL,25,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,7,NULL,NULL,18,NULL
2021-06-16,C,10,2,19,NULL,NULL,1,NULL,NULL,24,NULL,1,NULL,NULL,6,NULL,25,NULL,NULL,4,97,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,17,NULL,NULL,25,16,NULL,81,NULL,NULL,NULL,85,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,2,34,NULL,NULL,NULL,NULL,4,NULL,16,10,NULL,NULL,14,8,NULL,NULL,11,NULL,NULL,38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,39,2,NULL,48,NULL,NULL,37,NULL,NULL,NULL,5,1,NULL,NULL,7,NULL,8,75,NULL,NULL,NULL,NULL,4,NULL,NULL,2,NULL,NULL,54,NULL,NULL,NULL,NULL,61,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,47,8,NULL,109,1,NULL,NULL,2,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,3,NULL,NULL,NULL,22,NULL,NULL,33,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,27,NULL,NULL,1,NULL,NULL,27,NULL,NULL,25,NULL,NULL,NULL,NULL
2021-06-17,C,NULL,NULL,13,NULL,3,2,NULL,NULL,38,NULL,1,NULL,NULL,1,NULL,10,NULL,NULL,2,13,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,20,NULL,NULL,105,43,NULL,315,2,NULL,NULL,100,NULL,1,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,26,NULL,NULL,NULL,6,NULL,30,45,60,NULL,1,NULL,NULL,NULL,11,18,NULL,4,42,31,NULL,NULL,1,NULL,NULL,26,NULL,NULL,NULL,62,NULL,NULL,NULL,NULL,NULL,NULL,3,1,NULL,28,NULL,NULL,28,NULL,NULL,NULL,9,1,NULL,NULL,2,NULL,NULL,25,NULL,NULL,NULL,NULL,57,NULL,NULL,11,NULL,NULL,75,NULL,NULL,NULL,NULL,29,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL,65,NULL,NULL,306,6,NULL,NULL,91,NULL,NULL,5,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,4,NULL,4,4,NULL,NULL,52,4,NULL,36,NULL,6,NULL,NULL,NULL,NULL,4,NULL,15,NULL,NULL,20,NULL,NULL,22,NULL,NULL,67,2,NULL,106,NULL
2021-06-17,P,12,NULL,1,NULL,26,NULL,2,NULL,7,NULL,NULL,23,NULL,27,NULL,1,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,8,3,NULL,8,NULL,NULL,NULL,68,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,1,59,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,3,NULL,NULL,NULL,NULL,26,NULL,29,NULL,NULL,NULL,NULL,51,NULL,NULL,NULL,NULL,3,1,NULL,NULL,NULL,38,NULL,NULL,14,NULL,46,NULL,124,NULL,NULL,NULL,2,64,NULL,14,4,NULL,2,14,NULL,3,NULL,11,NULL,61,NULL,9,NULL,2,NULL,NULL,1,NULL,14,NULL,NULL,52,NULL,NULL,NULL,NULL,NULL,1,6,NULL,NULL,NULL,2,NULL,NULL,NULL,16,NULL,NULL,157,7,NULL,NULL,NULL,29,16,NULL,1,NULL,NULL,40,NULL,NULL,NULL,53,NULL,NULL,5,NULL,NULL,NULL,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,31,NULL,19,NULL,2,NULL,11,NULL,26,NULL,NULL,NULL,8,26,NULL,43,NULL,4,NULL,NULL,NULL,5,NULL,NULL,63,NULL,1,NULL,NULL,NULL,NULL,9,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,27,NULL
2021-06-18,P,2,NULL,1,NULL,37,NULL,NULL,NULL,24,NULL,NULL,44,NULL,48,NULL,NULL,NULL,NULL,4,1,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,1,110,NULL,1,NULL,NULL,NULL,39,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,5,3,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,25,NULL,NULL,3,NULL,NULL,2,NULL,1,NULL,NULL,15,NULL,22,NULL,NULL,NULL,NULL,29,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,64,NULL,NULL,108,NULL,3,NULL,88,NULL,NULL,NULL,1,115,NULL,14,NULL,NULL,5,31,NULL,3,NULL,4,NULL,23,NULL,1,NULL,17,NULL,NULL,1,NULL,32,NULL,NULL,56,NULL,NULL,1,NULL,NULL,3,5,NULL,NULL,NULL,12,1,NULL,NULL,10,NULL,NULL,2,40,NULL,NULL,1,1,92,NULL,1,NULL,NULL,14,NULL,NULL,NULL,46,NULL,NULL,18,NULL,NULL,NULL,142,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,37,NULL,NULL,NULL,19,NULL,6,NULL,33,NULL,NULL,NULL,10,7,NULL,18,NULL,43,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,12,NULL
2021-06-18,C,NULL,NULL,32,NULL,3,1,NULL,NULL,95,NULL,7,NULL,NULL,NULL,NULL,28,NULL,NULL,15,62,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,85,NULL,NULL,70,2,NULL,222,1,NULL,NULL,28,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,58,NULL,NULL,NULL,282,10,NULL,88,2,NULL,NULL,NULL,NULL,NULL,30,56,NULL,8,190,3,NULL,NULL,NULL,NULL,NULL,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,5,NULL,464,NULL,NULL,36,2,NULL,NULL,6,3,NULL,NULL,35,NULL,NULL,18,NULL,1,2,NULL,7,NULL,NULL,43,NULL,NULL,99,NULL,NULL,NULL,NULL,24,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,145,NULL,NULL,5394,15,NULL,6,7,NULL,NULL,9,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,259,NULL,NULL,NULL,NULL,NULL,1,NULL,30,NULL,NULL,5,NULL,34,5,NULL,NULL,59,NULL,NULL,24,NULL,11,NULL,NULL,NULL,NULL,1,NULL,18,NULL,NULL,1,NULL,NULL,76,NULL,NULL,105,4,NULL,2,NULL
2021-06-21,C,NULL,NULL,124,NULL,24,NULL,NULL,NULL,238,NULL,1,NULL,NULL,1,NULL,24,NULL,NULL,23,53,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,39,NULL,NULL,134,8,NULL,246,NULL,NULL,NULL,3155,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,9,NULL,NULL,NULL,65,13,18,175,37,NULL,2,NULL,22,NULL,12,31,NULL,47,324,20,NULL,NULL,2879,NULL,NULL,14,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,9,2,NULL,223,NULL,NULL,79,NULL,NULL,NULL,11,4,12,NULL,26,NULL,1,37,NULL,NULL,NULL,NULL,25,NULL,NULL,7,NULL,NULL,36,NULL,NULL,NULL,NULL,117,NULL,NULL,NULL,6,3,NULL,NULL,NULL,NULL,NULL,40,NULL,NULL,NULL,3636,NULL,NULL,186,10,NULL,NULL,19,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,102,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,33,NULL,21,10,NULL,NULL,39,1,NULL,19,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,209,8,NULL,5103,3,NULL,7,NULL
2021-06-21,P,35,NULL,NULL,NULL,25,NULL,1,NULL,92,NULL,NULL,10,NULL,36,NULL,NULL,NULL,NULL,12,33,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,9,NULL,NULL,NULL,345,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,3,79,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,205,NULL,NULL,10,NULL,NULL,5,NULL,3,NULL,NULL,25,NULL,21,NULL,NULL,NULL,NULL,395,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,57,NULL,NULL,6,NULL,1,NULL,135,NULL,NULL,NULL,4,71,NULL,3,NULL,NULL,16,44,NULL,15,NULL,19,NULL,40,1,10,NULL,16,NULL,NULL,3,NULL,215,2,NULL,32,NULL,NULL,2,NULL,NULL,8,NULL,NULL,NULL,NULL,3,8,NULL,NULL,22,NULL,NULL,NULL,84,NULL,NULL,NULL,31,36,NULL,4,NULL,NULL,54,NULL,NULL,NULL,72,NULL,NULL,119,NULL,NULL,NULL,42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,108,NULL,7,NULL,63,NULL,5,NULL,70,NULL,NULL,NULL,4,25,NULL,58,NULL,13,NULL,NULL,NULL,6,NULL,NULL,33,NULL,9,NULL,NULL,NULL,NULL,37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,6,NULL,NULL,40,NULL
